Number of Timesteps,Number of Flows,Number of crossover flows,Number of Groups,Study1Question Accuracy,Study2 Complexity Score
3,7,0,7,92.85714286,4.64135021
4,34,98,17,58.82352941,51.8987342
5,63,226,24,78.94736842,92.8270042
4,40,142,17,76.47058824,70.0421941
5,42,102,21,80,64.978903
5,46,116,22,92.85714286,62.8691983
3,15,24,9,75,27.4261603
4,23,28,17,82.35294118,29.535865
6,56,136,26,47.05882353,84.3881857
5,28,34,19,44.44444444,35.021097
5,27,34,18,86.66666667,31.6455696
5,45,116,22,64.28571429,57.8059072
3,9,4,9,70,7.17299578
4,37,114,16,70,62.8691983
6,55,176,26,82.35294118,76.7932489
3,7,0,8,85.71428571,0
5,39,54,21,75,49.3670886
6,60,126,29,42.85714286,81.4345992
5,55,222,21,84.21052632,83.1223629
4,34,82,17,84.61538462,49.3670886
6,58,196,27,83.33333333,81.8565401
3,15,16,9,78.94736842,16.8776371
4,21,40,17,85.71428571,33.7552743
5,42,88,23,42.10526316,58.2278481
3,10,5,8,53.33333333,14.7679325
4,36,156,18,70.58823529,56.5400844
6,50,148,25,73.33333333,74.2616034
3,13,18,8,53.84615385,16.8776371
5,35,50,20,77.77777778,44.7257384
6,56,168,28,68.75,75.1054852
3,10,10,7,100,13.0801688
5,33,64,19,75,45.9915612
5,45,152,22,88.88888889,60.7594937
5,50,130,23,57.14285714,66.2447257
4,36,74,19,81.25,56.9620253
6,58,158,28,73.33333333,85.6540084
3,11,6,8,73.68421053,10.1265823
5,67,228,23,50,100
6,49,92,27,56.25,72.1518987
6,57,156,26,76.47058824,84.8101266
5,50,132,19,78.57142857,78.0590717
6,75,236,29,70.58823529,97.4683544
3,7,2,6,93.75,0.84388186
4,25,42,14,82.35294118,28.6919831
5,63,214,24,55.55555556,95.3586498
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,